Survived,Pclass,Age,Fare,EmbarkedC,EmbarkedS,Female,SibSpYes,ParchYes
0,3,29.812625250501004,6.8583,0,0,0,0,0
1,1,22.0,151.55,0,1,1,0,0
0,3,20.0,7.8542,0,1,0,0,0
1,1,19.0,30.0,0,1,1,0,0
0,3,29.812625250501004,7.8958,0,1,0,0,0
1,2,48.0,65.0,0,1,1,1,1
0,1,28.0,47.1,0,1,0,0,0
1,3,27.0,8.6625,0,1,0,0,0
0,3,20.0,7.05,0,1,0,0,0
0,3,68.56427814644442,7.75,0,0,0,0,0
0,2,23.0,13.0,0,1,0,0,0
1,3,19.0,8.05,0,1,0,0,0
0,2,34.0,21.0,0,1,0,1,0
1,2,50.0,10.5,0,1,1,0,0
0,2,44.0,26.0,0,1,0,1,0
0,3,40.0,7.225,1,0,0,0,0
0,3,35.0,7.8958,1,0,0,0,0
0,3,29.812625250501004,8.05,0,1,0,0,0
0,3,29.812625250501004,25.4667,0,1,1,1,1
0,3,37.0,7.925,0,1,0,1,0
0,3,22.0,9.8375,0,1,1,0,0
1,3,29.812625250501004,7.75,0,0,1,0,0
1,1,49.0,56.9292,1,0,0,1,0
1,2,62.0,10.5,0,1,0,0,0
0,3,29.812625250501004,16.1,0,1,0,1,0
1,1,23.0,187.66634567385893,0,1,1,1,1
0,2,31.0,37.0042,1,0,0,1,1
0,1,29.812625250501004,26.0,0,1,0,0,0
1,1,35.0,90.0,0,1,1,1,0
1,2,24.0,27.0,0,1,1,1,1
1,1,24.0,69.3,1,0,1,0,0
0,1,29.812625250501004,187.66634567385893,0,1,0,0,0
1,1,38.0,80.0,0,1,1,0,0
0,2,29.0,21.0,0,1,0,1,0
0,3,24.0,8.05,0,1,0,0,0
0,3,21.0,7.8,0,1,0,0,0
0,1,36.0,78.85,0,1,0,1,0
0,3,25.0,7.775,0,1,0,1,0
0,3,29.812625250501004,8.05,0,1,0,0,0
1,3,29.812625250501004,15.5,0,0,1,1,0
0,1,62.0,26.55,0,1,0,0,0
1,1,29.812625250501004,55.0,0,1,1,0,1
0,3,25.0,7.925,0,1,1,1,0
1,2,28.0,24.0,1,0,1,1,0
0,3,28.0,9.5,0,1,0,0,0
0,3,59.0,7.25,0,1,0,0,0
1,3,29.812625250501004,15.5,0,0,1,1,0
0,3,29.812625250501004,7.75,0,0,1,0,0
0,2,39.0,13.0,0,1,0,0,0
0,2,24.0,13.0,0,1,1,0,0
1,3,4.0,16.7,0,1,1,1,1
1,2,36.0,13.0,0,1,1,0,0
0,3,45.0,14.4542,1,0,1,0,1
0,2,23.0,15.0458,1,0,0,0,0
1,1,35.0,53.1,0,1,1,1,0
1,1,56.0,35.5,1,0,0,0,0
0,2,29.812625250501004,0.0,0,1,0,0,0
0,3,44.0,8.05,0,1,0,0,0
0,1,24.0,187.66634567385893,1,0,0,0,1
0,2,25.0,13.0,0,1,0,0,0
1,3,29.812625250501004,15.2458,1,0,0,1,1
0,1,18.0,108.9,1,0,0,1,0
0,1,68.56427814644442,34.6542,1,0,0,0,0
1,2,34.0,23.0,0,1,1,0,1
0,2,16.0,26.0,0,1,0,0,0
1,1,54.0,78.2667,1,0,1,1,0
0,3,29.812625250501004,8.05,0,1,0,0,0
0,3,26.0,7.8542,0,1,0,1,0
0,1,47.0,25.5875,0,1,0,0,0
1,1,48.0,52.0,0,1,0,1,0
0,3,20.0,9.8458,0,1,0,0,0
0,3,11.0,18.7875,1,0,0,0,0
0,3,36.0,7.4958,0,1,0,0,0
0,1,19.0,53.1,0,1,0,1,0
1,2,5.0,27.75,0,1,1,1,1
0,3,20.0,9.825,0,1,1,1,0
0,3,29.812625250501004,8.6625,0,1,0,0,0
0,3,18.0,17.8,0,1,1,1,0
0,2,18.0,13.0,0,1,0,0,0
1,1,52.0,93.5,0,1,1,1,1
0,3,29.812625250501004,8.05,0,1,1,0,0
1,1,16.0,39.4,0,1,1,0,1
1,3,29.812625250501004,16.1,0,1,1,1,0
0,3,19.0,7.775,0,1,0,0,0
0,1,29.812625250501004,27.7208,1,0,0,0,0
0,3,47.0,7.25,0,1,0,0,0
1,3,29.0,7.8958,1,0,0,0,0
1,3,29.812625250501004,7.8792,0,0,1,0,0
0,3,29.812625250501004,15.5,0,0,0,1,0
1,3,29.812625250501004,7.2292,1,0,1,0,0
0,3,29.812625250501004,7.8958,0,1,0,0,0
1,1,33.0,90.0,0,0,1,1,0
1,1,35.0,26.55,1,0,0,0,0
1,3,21.0,7.7958,0,1,0,0,0
1,1,22.0,49.5,1,0,1,0,1
1,1,52.0,30.5,0,1,0,0,0
0,3,61.0,6.2375,0,1,0,0,0
0,1,29.812625250501004,187.66634567385893,1,0,0,0,0
1,1,30.0,56.9292,1,0,1,0,0
1,3,29.812625250501004,7.75,0,0,1,0,0
0,3,40.0,15.5,0,0,0,1,1
1,1,47.0,52.5542,0,1,1,1,1
0,3,21.0,7.925,0,1,0,0,0
1,3,18.0,9.8417,0,1,1,0,0
0,3,33.0,7.8958,1,0,0,0,0
1,3,22.0,7.25,0,1,1,0,0
0,3,16.0,7.775,0,1,0,0,0
0,3,28.0,14.4,0,1,1,1,1
1,1,18.0,187.66634567385893,1,0,1,1,1
0,1,50.0,55.9,0,1,0,1,0
1,1,42.0,26.2875,0,1,0,0,0
1,1,15.0,187.66634567385893,0,1,1,0,1
1,2,19.0,26.0,0,1,1,0,0
1,1,54.0,59.4,1,0,1,1,0
0,3,35.0,7.125,0,1,0,0,0
0,3,18.0,14.4542,1,0,1,0,1
0,3,29.0,9.4833,0,1,0,0,0
0,3,34.5,6.4375,1,0,0,0,0
1,3,23.0,7.55,0,1,1,0,0
1,1,42.0,187.66634567385893,1,0,1,0,0
0,3,33.0,7.8958,0,1,0,0,0
1,1,44.0,27.7208,1,0,1,0,0
0,3,39.0,31.275,0,1,1,1,1
1,3,12.0,11.2417,1,0,0,1,0
0,1,31.0,52.0,0,1,0,1,0
0,3,24.0,7.4958,0,1,0,0,0
0,3,26.0,8.6625,0,1,0,1,0
0,3,40.5,14.5,0,1,0,0,1
0,3,19.0,0.0,0,1,0,0,0
0,3,29.812625250501004,14.5,0,1,0,0,0
1,2,28.0,13.0,0,1,1,0,0
0,2,32.5,30.0708,1,0,0,1,0
1,1,63.0,77.9583,0,1,1,1,0
0,2,23.0,10.5,0,1,0,0,0
1,2,2.0,26.0,0,1,1,1,1
1,1,24.0,187.66634567385893,0,1,1,1,1
1,1,16.0,57.9792,1,0,1,0,1
1,2,45.0,13.5,0,1,1,0,0
1,3,18.0,8.05,0,1,0,0,0
1,2,24.0,26.0,0,1,1,1,0
0,3,29.812625250501004,69.55,0,1,0,1,1
0,1,21.0,77.2875,0,1,0,0,1
0,3,29.812625250501004,14.4542,1,0,1,1,0
0,1,54.0,51.8625,0,1,0,0,0
1,3,29.812625250501004,7.8792,0,0,1,0,0
0,3,29.812625250501004,7.25,0,1,0,0,0
1,1,31.0,164.8667,0,1,1,0,1
0,3,17.0,8.6625,0,1,0,0,0
1,1,48.0,26.55,0,1,0,0,0
1,3,15.0,14.4542,1,0,1,1,0
0,3,20.0,9.225,0,1,0,0,0
0,1,39.0,0.0,0,1,0,0,0
1,3,0.42,8.5167,1,0,0,0,1
1,1,43.0,187.66634567385893,0,1,1,0,1
0,3,1.0,46.9,0,1,0,1,1
0,3,37.0,9.5875,0,1,1,0,0
0,3,9.0,31.275,0,1,1,1,1
0,3,48.0,7.8542,0,1,0,0,0
0,3,35.0,8.05,0,1,0,0,0
1,2,22.0,29.0,0,1,1,1,1
0,3,24.0,24.15,0,1,0,1,0
0,3,18.0,18.0,0,1,1,1,0
0,3,14.0,39.6875,0,1,0,1,1
0,3,30.0,7.8958,0,1,0,0,0
1,1,22.0,66.6,0,1,1,1,0
0,3,29.812625250501004,7.225,1,0,0,0,0
0,3,29.0,7.775,0,1,0,0,0
1,1,29.812625250501004,89.1042,1,0,1,1,0
0,3,29.812625250501004,25.4667,0,1,0,1,1
0,3,18.0,8.3,0,1,0,0,0
1,3,20.0,15.7417,1,0,0,1,1
0,1,30.0,27.75,1,0,0,0,0
0,3,15.0,7.2292,1,0,0,1,1
