Survived,Pclass,Age,SibSp,Parch,Fare,EmbarkedC,EmbarkedS,Female
0,2,36.0,0,0,10.5,0,1,0
0,3,19.0,0,0,7.8958,0,1,0
1,3,63.0,0,0,9.5875,0,1,1
0,3,17.0,0,0,8.6625,0,1,0
1,2,28.0,1,0,26.0,0,1,1
1,3,14.0,1,0,11.2417,1,0,1
1,1,44.0,0,1,57.9792,1,0,1
0,3,29.435674418604652,1,0,19.9667,0,1,0
1,3,20.0,0,0,7.2292,1,0,0
1,2,29.435674418604652,0,0,12.35,0,0,1
0,3,20.0,0,0,8.6625,0,1,1
0,3,33.0,1,1,20.525,0,1,0
1,1,39.0,1,0,55.9,0,1,1
0,2,33.0,0,0,12.275,0,1,0
1,1,58.0,0,0,146.5208,1,0,1
0,2,30.0,0,0,10.5,0,1,0
0,3,33.0,0,0,7.775,0,1,0
1,3,38.0,1,3,31.3875,0,1,1
0,3,35.0,0,0,8.05,0,1,0
1,3,27.0,0,0,7.7958,0,1,0
1,3,22.0,0,0,7.75,0,1,1
0,3,29.435674418604652,0,0,8.1375,0,0,1
1,1,16.0,0,0,86.5,0,1,1
0,2,18.0,0,0,11.5,0,1,0
0,3,29.435674418604652,1,0,24.15,0,0,0
0,2,57.0,0,0,10.5,0,1,1
1,1,53.0,2,0,51.4792,0,1,1
0,3,28.0,0,0,56.4958,0,1,0
1,3,32.0,0,0,56.4958,0,1,0
0,2,24.0,2,0,73.5,0,1,0
1,1,35.0,1,0,52.0,0,1,1
0,3,2.0,0,1,10.4625,0,1,1
0,3,17.0,0,0,7.125,0,1,0
0,3,22.0,0,0,7.7958,0,1,0
1,2,17.0,0,0,12.0,1,0,1
0,3,29.435674418604652,0,0,7.225,1,0,0
1,3,29.435674418604652,0,0,7.7333,0,0,1
0,2,32.0,2,0,73.5,0,1,0
1,3,15.0,0,0,8.0292,0,0,1
1,3,16.0,0,0,7.75,0,0,1
0,3,18.0,0,0,6.75,0,0,1
1,2,30.0,0,0,12.35,0,0,1
1,3,1.0,1,1,11.1333,0,1,1
1,1,39.0,1,1,110.8833,1,0,1
0,3,29.435674418604652,0,0,7.8958,0,1,0
1,1,29.435674418604652,1,0,51.8625,0,1,1
1,2,1.0,0,2,37.0042,1,0,0
0,3,29.435674418604652,0,0,6.95,0,0,0
1,2,2.0,1,1,26.0,0,1,0
0,3,10.0,0,2,24.15,0,1,1
0,3,25.0,0,0,7.05,0,1,0
0,3,16.0,0,0,8.05,0,1,0
0,2,18.0,0,0,11.5,0,1,0
1,1,48.0,1,0,76.7292,1,0,0
0,2,30.0,1,0,24.0,1,0,0
0,3,38.0,0,0,7.8958,0,1,0
1,2,27.0,1,0,13.8583,1,0,1
0,3,4.0,2,1,29.125,0,0,0
1,1,45.0,0,0,26.55,0,1,0
0,1,38.0,0,0,0.0,0,1,0
1,1,36.0,0,2,71.0,0,1,1
1,1,27.0,0,0,76.7292,1,0,0
0,3,29.435674418604652,2,2,69.55,0,1,0
0,2,59.0,0,0,13.5,0,1,0
0,3,29.435674418604652,0,0,7.225,1,0,0
0,3,29.435674418604652,0,0,7.7333,0,0,0
1,3,30.0,0,0,9.5,0,1,0
0,3,24.0,0,0,7.05,0,1,0
1,1,14.0,1,2,120.0,0,1,1
0,3,26.0,1,2,20.575,0,1,0
0,3,9.0,2,2,31.3875,0,1,0
1,1,29.435674418604652,0,0,35.5,0,1,0
1,2,24.0,0,0,13.0,0,1,1
1,2,32.5,0,0,13.0,0,1,1
0,2,29.435674418604652,0,0,0.0,0,1,0
0,2,29.0,0,0,10.5,0,1,0
0,3,29.435674418604652,0,0,7.725,0,0,0
0,3,47.0,0,0,9.0,0,1,0
1,2,25.0,0,1,26.0,0,1,1
0,3,9.0,2,2,34.375,0,1,1
0,2,34.0,0,0,13.0,0,1,0
0,3,21.0,2,2,34.375,0,1,1
0,3,22.0,0,0,7.8958,0,1,0
1,2,40.0,1,1,39.0,0,1,1
0,1,47.0,0,0,34.0208,0,1,0
0,3,48.0,1,3,34.375,0,1,1
0,3,29.435674418604652,2,2,69.55,0,1,0
0,3,17.0,1,0,7.0542,0,1,0
0,1,51.0,0,1,61.3792,1,0,0
0,3,29.435674418604652,1,0,14.4583,1,0,1
0,3,16.0,2,0,18.0,0,1,0
0,3,18.0,0,0,7.7958,0,1,0
0,3,29.435674418604652,0,0,7.8958,0,1,0
1,1,29.435674418604652,1,0,146.5208,1,0,1
0,3,42.0,0,0,7.65,0,1,0
0,3,29.435674418604652,0,0,7.8958,1,0,0
0,3,21.0,0,0,8.6625,0,1,0
1,2,32.0,0,0,13.0,0,1,1
1,3,17.0,2,2,7.925,0,1,1
0,3,31.0,1,0,18.0,0,1,1
0,3,16.0,0,0,9.2167,0,1,0
0,3,29.435674418604652,0,0,7.75,0,0,0
1,2,6.0,0,1,33.0,0,1,1
0,3,28.5,0,0,16.1,0,1,0
1,2,24.0,0,2,14.5,0,1,1
1,3,32.0,0,0,7.8542,0,1,0
1,3,16.0,0,0,7.7333,0,0,1
1,1,21.0,0,0,77.9583,0,1,1
0,3,21.0,0,0,16.1,0,1,0
1,1,31.0,1,0,57.0,0,1,0
0,3,33.0,0,0,8.6625,1,0,0
1,3,22.0,0,0,7.225,1,0,0
0,3,29.435674418604652,0,0,7.8958,0,1,0
0,1,29.435674418604652,0,0,42.4,0,1,0
